# s/c    M_iso
0.00780522 0.07088920
0.00650435 0.06793960
0.00520348 0.06493331
0.00390261 0.06186043
0.00260174 0.05870880
0.00130087 0.05546317
0.00000000 0.05210404
-0.00000000 0.04358008
-0.00130087 0.03553591
-0.00260335 0.03036989
-0.00390746 0.02485532
-0.00521317 0.02029335
-0.00652048 0.01583208
-0.00782941 0.01158759
-0.00913993 0.00668997
-0.01045207 0.00000000
-0.01176578 nan
-0.01308110 nan
-0.01439801 0.00598368
-0.01571644 0.01078742
-0.01703653 0.01554677
-0.01835824 0.02029335
-0.01968143 0.02485532
-0.02100625 0.02977411
-0.02233255 0.03464210
-0.02366047 0.03970497
-0.02499002 0.04469739
-0.02632105 0.04955068
-0.02765326 0.05388783
-0.02898739 0.05720059
-0.03032315 0.05973441
-0.03166038 0.06194856
-0.03299939 0.06387615
-0.03433973 0.06574764
-0.03568185 0.06750118
-0.03702529 0.06921065
-0.03837051 0.07087925
-0.03971706 0.07250980
-0.04106524 0.07410482
-0.04241504 0.07578536
-0.04376617 0.07742980
-0.04511893 0.07892643
-0.04647316 0.08017123
-0.04782902 0.08106467
-0.04918636 0.08178349
-0.05054518 0.08238688
-0.05190548 0.08298594
-0.05326740 0.08358075
-0.05463080 0.08417142
-0.05599568 0.08470486
-0.05736204 0.08523500
-0.05872988 0.08581443
-0.06009919 0.08633785
-0.06146998 0.08685815
-0.06284240 0.08737541
-0.06421615 0.08788965
-0.06559138 0.08840095
-0.06696823 0.08901069
-0.06834642 0.08961633
-0.06972608 0.09021797
-0.07110722 0.09086532
-0.07248984 0.09145886
-0.07387393 0.09209761
-0.07525951 0.09273203
-0.07664641 0.09331388
-0.07803480 0.09394021
-0.07942466 0.09451474
-0.08081600 0.09513329
-0.08220867 0.09574791
-0.08360282 0.09631182
-0.08499845 0.09691909
-0.08639541 0.09747635
-0.08779384 0.09803049
-0.08919376 0.09862735
-0.09059500 0.09917517
-0.09199772 0.09972004
-0.09340178 0.10026199
-0.09480731 0.10080109
-0.09621417 0.10133736
-0.09762236 0.10187087
-0.09903203 0.10240165
-0.10044304 0.10292974
-0.10185551 0.10345519
-0.10326932 0.10397804
-0.10468446 0.10445505
-0.10610108 0.10497301
-0.10751888 0.10548848
-0.10893816 0.10600149
-0.11035892 0.10651208
-0.11178086 0.10702029
-0.11320413 0.10752614
-0.11462888 0.10802967
-0.11605496 0.10853091
-0.11748222 0.10898840
-0.11891096 0.10948535
-0.12034104 0.10993895
-0.12177229 0.11043171
-0.12320502 0.11088153
-0.12463893 0.11132956
-0.12607433 0.11177585
-0.12751090 0.11222039
-0.12894881 0.11266323
-0.13038804 0.11310436
-0.13182846 0.11354383
-0.13327021 0.11398163
-0.13471344 0.11441781
-0.13615770 0.11481292
-0.13760344 0.11524602
-0.13905022 0.11567754
-0.14049847 0.11606847
-0.14194791 0.11649701
-0.14339867 0.11688526
-0.14485062 0.11731090
-0.14630375 0.11769653
-0.14775822 0.11808094
-0.14921430 0.11850238
-0.15067039 0.11888425
-0.15212944 0.11926492
-0.15358848 0.11968230
-0.15504900 0.12006051
-0.15651101 0.12043756
-0.15797449 0.12085100
-0.15943796 0.12122565
-0.16090440 0.12159919
-0.16237084 0.12200879
-0.16383875 0.12238000
-0.16530667 0.12275011
-0.16677754 0.12315598
-0.16824841 0.12352384
-0.16972223 0.12392725
-0.17119606 0.12429288
-0.17266989 0.12469387
-0.17414667 0.12505732
-0.17562346 0.12545593
-0.17710172 0.12581725
-0.17858146 0.12621353
-0.18006268 0.12660861
-0.18154390 0.12696673
-0.18302659 0.12735954
-0.18451077 0.12775118
-0.18599642 0.12814165
-0.18748355 0.12853097
-0.18897069 0.12891915
-0.19045930 0.12930621
-0.19194791 0.12969214
-0.19343947 0.13007695
-0.19493104 0.13046067
-0.19642408 0.13084330
-0.19791861 0.13122485
-0.19941313 0.13157078
