# s/c    M_iso
0.07147398 0.19876162
0.07017310 0.19603337
0.06887223 0.19331423
0.06757136 0.19060409
0.06628528 0.18790281
0.06498440 0.18521026
0.06368353 0.18252627
0.06238266 0.17985070
0.06108179 0.17718336
0.05978092 0.17452407
0.05849483 0.17187263
0.05719396 0.16922883
0.05589309 0.16659243
0.05459222 0.16396319
0.05329135 0.16134084
0.05199048 0.15872509
0.05068961 0.15611564
0.04940352 0.15351216
0.04810265 0.15091429
0.04680178 0.14832165
0.04550091 0.14573383
0.04420004 0.14315037
0.04289917 0.14057080
0.04159830 0.13799460
0.04029743 0.13542121
0.03901134 0.13285001
0.03771047 0.13028036
0.03640960 0.12771153
0.03510873 0.12514275
0.03380786 0.12257318
0.03250698 0.12000189
0.03120611 0.11742789
0.02990524 0.11485007
0.02860437 0.11226724
0.02730350 0.10967807
0.02600263 0.10708111
0.02470176 0.10447476
0.02341567 0.10185725
0.02211480 0.09922661
0.02081393 0.09658064
0.01951306 0.09391691
0.01821219 0.09123264
0.01691132 0.08852474
0.01561045 0.08578969
0.01430958 0.08302348
0.01300871 0.08022149
0.01170784 0.07737840
0.01040697 0.07448799
0.00910609 0.07154297
0.00780522 0.06853462
0.00650435 0.06545249
0.00520348 0.06228379
0.00390261 0.05901263
0.00260174 0.05561885
0.00130087 0.05207627
0.00000000 0.04834977
-0.00000000 0.04234835
-0.00130087 0.03339974
-0.00260335 0.02875046
-0.00390746 0.02340237
-0.00521317 0.01919384
-0.00652048 0.01445956
-0.00782941 0.01046483
-0.00913993 0.00446213
-0.01045207 nan
-0.01176578 nan
-0.01308110 nan
-0.01439801 0.00000000
-0.01571644 0.00834797
-0.01703653 0.01338686
-0.01835824 0.01812651
-0.01968143 0.02275502
-0.02100625 0.02751096
-0.02233255 0.03249235
-0.02366047 0.03734438
-0.02499002 0.04234835
-0.02632105 0.04724622
-0.02765326 0.05168367
-0.02898739 0.05505006
-0.03032315 0.05770634
-0.03166038 0.05983039
-0.03299939 0.06180127
-0.03433973 0.06363316
-0.03568185 0.06541413
-0.03702529 0.06707376
-0.03837051 0.06869362
-0.03971706 0.07027646
-0.04106524 0.07189433
-0.04241504 0.07347690
-0.04376617 0.07515966
-0.04511893 0.07667551
-0.04647316 0.07790573
-0.04782902 0.07880004
-0.04918636 0.07949574
-0.05054518 0.08012301
-0.05190548 0.08074546
-0.05326740 0.08130164
-0.05463080 0.08185409
-0.05599568 0.08246363
-0.05736204 0.08300843
-0.05872988 0.08354973
-0.06009919 0.08402799
-0.06146998 0.08456285
-0.06284240 0.08509438
-0.06421615 0.08556412
-0.06559138 0.08614774
-0.06696823 0.08672748
-0.06834642 0.08730342
