# s/c    P_stat_mean   P_stat_std
0.78307981 0.47687182 0.00462857
0.78435112 0.47665049 0.00458465
0.78563720 0.47642686 0.00454313
0.78690851 0.47619870 0.00450420
0.78817982 0.47596457 0.00446786
0.78946590 0.47572375 0.00443375
0.79073721 0.47547543 0.00440153
0.79202330 0.47521919 0.00437078
0.79329460 0.47495487 0.00434103
0.79458069 0.47468328 0.00431152
0.79585200 0.47440649 0.00428142
0.79712330 0.47412709 0.00424997
0.79840939 0.47384778 0.00421674
0.79968070 0.47357141 0.00418142
0.80096678 0.47330084 0.00414375
0.80223809 0.47303813 0.00410358
0.80350939 0.47278278 0.00406166
0.80479548 0.47253197 0.00401913
0.80606679 0.47228084 0.00397768
0.80735288 0.47202341 0.00393959
0.80862418 0.47175725 0.00390481
0.80989549 0.47148219 0.00387283
0.81118157 0.47119738 0.00384355
0.81245288 0.47090151 0.00381681
0.81373897 0.47059256 0.00379285
0.81501027 0.47026983 0.00377142
0.81628158 0.46993519 0.00375158
0.81756767 0.46959246 0.00373191
0.81883897 0.46924523 0.00371154
0.82012506 0.46889688 0.00368970
0.82139637 0.46855270 0.00366464
0.82266767 0.46821866 0.00363490
0.82395376 0.46789935 0.00359936
0.82522507 0.46759425 0.00355904
0.82651115 0.46729524 0.00351787
0.82778246 0.46699200 0.00347959
0.82905376 0.46667771 0.00344596
0.83033985 0.46634929 0.00341739
0.83161116 0.46600587 0.00339364
0.83288246 0.46564823 0.00337405
0.83416855 0.46527822 0.00335796
0.83543986 0.46489856 0.00334457
0.83672594 0.46451279 0.00333290
0.83799725 0.46412483 0.00332195
0.83926856 0.46373860 0.00331082
0.84055464 0.46335796 0.00329859
0.84182595 0.46298670 0.00328446
0.84309725 0.46262819 0.00326767
0.84438334 0.46228511 0.00324756
0.84565465 0.46195847 0.00322419
0.84692595 0.46164640 0.00319836
0.84821204 0.46134380 0.00317170
0.84948335 0.46104246 0.00314671
0.85076944 0.46073363 0.00312565
0.85204074 0.46041288 0.00310922
0.85331205 0.46008194 0.00309626
0.85459813 0.45974628 0.00308460
0.85586944 0.45941150 0.00307277
0.85714075 0.45908181 0.00305985
0.85842683 0.45876041 0.00304506
0.85969814 0.45844986 0.00302769
0.86096944 0.45815078 0.00300774
0.86225553 0.45786150 0.00298561
0.86352684 0.45757710 0.00296293
0.86479814 0.45728576 0.00294398
0.86608423 0.45697401 0.00293260
0.86735554 0.45663310 0.00293118
0.86862684 0.45626048 0.00293997
0.86991293 0.45585974 0.00295671
0.87118424 0.45543831 0.00297838
0.87245554 0.45500449 0.00300222
0.87374163 0.45456691 0.00302591
0.87501293 0.45413596 0.00304678
0.87628424 0.45372096 0.00306250
0.87757033 0.45332945 0.00307116
0.87884163 0.45296781 0.00307117
0.88011294 0.45264002 0.00306180
0.88138424 0.45234745 0.00304331
0.88267033 0.45208911 0.00301693
0.88394164 0.45186234 0.00298438
0.88521294 0.45166334 0.00294785
0.88649903 0.45148720 0.00290968
0.88777034 0.45132714 0.00287261
0.88904164 0.45117573 0.00283979
0.89032773 0.45102824 0.00281268
0.89159904 0.45088281 0.00279084
0.89287034 0.45073784 0.00277357
0.89415643 0.45059067 0.00276055
0.89542774 0.45043895 0.00275150
0.89669904 0.45028176 0.00274576
0.89797035 0.45012002 0.00274245
0.89925643 0.44995535 0.00274077
0.90052774 0.44978979 0.00274010
0.90179905 0.44962618 0.00273956
0.90308513 0.44946715 0.00273842
0.90435644 0.44931563 0.00273611
0.90562774 0.44917497 0.00273165
0.90691383 0.44904809 0.00272417
0.90818514 0.44893779 0.00271301
0.90945644 0.44884551 0.00269783
0.91072775 0.44877139 0.00267894
0.91201384 0.44871340 0.00265745
0.91328514 0.44866644 0.00263528
0.91455645 0.44862519 0.00261413
0.91582775 0.44858393 0.00259544
0.91711384 0.44853624 0.00258044
0.91838515 0.44847613 0.00257006
0.91965645 0.44839842 0.00256478
0.92094254 0.44830025 0.00256461
0.92221385 0.44818173 0.00256895
0.92348515 0.44804756 0.00257589
0.92475646 0.44790632 0.00258256
0.92604254 0.44776538 0.00258687
0.92731385 0.44762872 0.00258795
0.92858516 0.44749759 0.00258606
0.92985646 0.44737180 0.00258193
0.93114255 0.44725078 0.00257623
0.93241385 0.44713387 0.00256975
0.93368516 0.44701946 0.00256356
0.93495647 0.44690401 0.00255935
0.93624255 0.44678352 0.00255913
0.93751386 0.44665413 0.00256379
0.93878516 0.44651104 0.00257385
0.94005647 0.44634761 0.00259043
0.94134256 0.44615998 0.00261333
0.94261386 0.44595243 0.00263998
0.94388517 0.44573285 0.00266745
0.94515647 0.44550778 0.00269403
0.94644256 0.44528251 0.00271856
0.94771387 0.44506169 0.00274007
0.94898517 0.44484983 0.00275778
0.95025648 0.44465113 0.00277072
0.95154257 0.44446932 0.00277807
0.95281387 0.44430777 0.00277904
0.95408518 0.44416848 0.00277304
0.95535648 0.44404863 0.00276181
0.95664257 0.44393886 0.00274949
0.95791388 0.44382485 0.00274150
0.95918518 0.44369217 0.00274222
0.96045649 0.44353343 0.00275278
0.96174258 0.44335025 0.00277135
0.96301388 0.44314809 0.00279568
0.96428519 0.44293227 0.00282435
0.96555649 0.44270860 0.00285574
0.96682780 0.44248299 0.00288815
0.96811389 0.44226160 0.00291972
0.96938519 0.44205005 0.00294890
0.97065650 0.44185233 0.00297466
0.97192780 0.44167080 0.00299661
0.97321389 0.44150655 0.00301489
0.97448520 0.44135927 0.00302975
0.97575650 0.44122673 0.00304235
0.97702781 0.44110529 0.00305411
0.97829911 0.44098981 0.00306671
0.97958520 0.44087441 0.00308193
0.98085651 0.44075435 0.00310090
0.98212781 0.44062691 0.00312405
0.98339912 0.44049173 0.00315110
0.98468520 0.44034981 0.00318160
0.98595651 0.44020292 0.00321523
0.98722781 0.44005385 0.00325115
